,datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mean,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,band_ax,band_ay,band_az,opacity_median,opacity_std
0,2017-10-13 08:15:16,1507882515485,8a1ep,1,n2,68.0,0.1403265633781979,0.8351306666666671,30.74666659037269,-1,-1,-1,-1,-1,-1,-1,-0.8426923333333338,-0.4720870000000008,0.2328286666666679,-1.0,-1.0
1,2017-10-13 08:37:18,1507883837492,8a1ep,rest,HPrest,68.33333333333333,0.1845018450184498,0.9955200000000016,30.770000457763672,-1,-1,-1,-1,-1,-1,-1,-0.0111490899999984,0.9801430000000008,0.1669106666666712,-1.0,-1.0
2,2017-10-13 08:38:53,1507883932503,8a1ep,rest,HPrest,73.0,0.1735145164754683,0.8074773333333347,30.659999847412067,-1,-1,-1,-1,-1,-1,-1,0.2362466333333348,0.7989500000000008,0.2864580000000035,-1.0,-1.0
3,2017-10-13 08:41:02,1507884061500,8a1ep,rest,HPrest,73.33333333333333,0.1761438053794803,0.7189866666666677,30.649999618530277,-1,-1,-1,-1,-1,-1,-1,-0.1826984999999984,0.6426593333333342,0.7381996666666697,-1.0,-1.0
4,2017-10-13 08:49:58,1507884597504,8a1ep,rest,GCrest,61.0,0.228206298493839,0.926386666666667,30.76000022888178,-1,-1,-1,-1,-1,-1,-1,-0.0365803999999991,0.965901833333332,0.2626141666666713,-1.0,-1.0
5,2017-10-13 08:23:43,1507883022506,8a1ep,rest,n3_rest,74.0,0.1210676308368095,0.884906666666668,30.790000915527276,-1,-1,-1,-1,-1,-1,-1,0.1635743333333341,0.1104329999999993,0.973633166666669,-1.0,-1.0
6,2017-10-13 08:44:00,1507884239511,8a1ep,2,FA,70.0,0.2414776348519985,0.8627840000000012,30.670000076293874,15,4,2,3,1,3,2,-0.5472413333333316,0.443359333333333,0.710083000000004,0.0705882352941,0.0455516786353735
7,2017-10-13 08:46:06,1507884365497,8a1ep,1,FA,69.66666666666667,0.2812152187942779,0.8572533333333343,30.72999954223627,10,2,1,2,1,2,2,-0.2094726666666646,0.7282306666666662,0.6412763333333377,0.0627450980392,0.0260985943256794
8,2017-10-13 08:47:25,1507884444505,8a1ep,0,FA,75.0,0.2840147932213849,0.782589333333334,30.70999908447267,8,1,1,2,1,1,2,-0.6427813333333318,0.2622069999999996,0.7166343333333375,0.0705882352941,0.0394762584853308
9,2017-10-13 08:18:43,1507882722490,8a1ep,rest,n2_rest,67.0,0.1789485943585041,0.8019466666666678,30.909999847412085,-1,-1,-1,-1,-1,-1,-1,-0.8115233333333336,-0.2157390000000005,0.5342610000000012,-1.0,-1.0
10,2017-10-13 08:20:43,1507882842501,8a1ep,2,n3,65.66666666666667,0.1816710586254303,0.879376000000001,31.04999923706049,-1,-1,-1,-1,-1,-1,-1,-0.6616619999999998,0.1075441166666664,0.7203775000000023,-1.0,-1.0
11,2017-10-13 08:36:15,1507883774500,8a1ep,2,HP,72.0,0.2196692775407468,0.9070293333333348,30.76000022888178,13,3,3,2,1,2,2,0.3594563333333351,0.748942000000001,0.5391030000000048,0.06666666666665,0.0400350139375395
12,2017-10-13 08:38:03,1507883882504,8a1ep,0,HP,68.33333333333333,0.1140635602732874,0.8849066666666681,30.72999954223627,8,1,1,2,1,1,2,0.3361001666666682,0.5604246666666679,0.7459311666666705,0.05882352941175,0.028242555348256
13,2017-10-13 08:39:46,1507883985486,8a1ep,1,HP,68.33333333333333,0.2188344565728114,0.8904373333333346,30.659999847412067,9,2,1,1,1,2,2,-0.1099853333333319,0.5728353333333339,0.8047686666666701,0.0705882352941,0.019686118271385
14,2017-10-13 08:44:50,1507884289505,8a1ep,rest,FArest,76.0,0.1953669225573053,0.7134560000000013,30.72999954223627,-1,-1,-1,-1,-1,-1,-1,-0.0007324333333315,0.942342333333333,0.2964681666666709,-1.0,-1.0
15,2017-10-13 08:46:51,1507884410498,8a1ep,rest,FArest,66.66666666666667,0.2673843188167573,0.907029333333334,30.703332901000973,-1,-1,-1,-1,-1,-1,-1,-0.048339999999998,0.7914629999999997,0.3269450000000044,-1.0,-1.0
16,2017-10-13 08:48:29,1507884508499,8a1ep,rest,FArest,72.66666666666667,0.2855329084334006,0.8793760000000006,30.719999313354464,-1,-1,-1,-1,-1,-1,-1,-0.5048423333333325,0.3436276666666661,0.7517905000000042,-1.0,-1.0
17,2017-10-13 08:49:10,1507884549497,8a1ep,1,GC,68.66666666666667,0.2868621260748856,0.8849066666666671,30.76000022888178,12,3,1,1,2,3,2,-0.3911133333333327,0.5582679999999992,0.726643666666671,0.0470588235294,0.0090564748108153
18,2017-10-13 08:50:34,1507884633489,8a1ep,2,GC,69.0,0.2821992660924192,0.8959680000000004,30.78000068664548,14,4,1,1,3,3,2,-0.3950196666666659,0.5177409999999988,0.7537841666666715,0.0588235294117499,0.026012743453897
