,datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mean,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,band_ax,band_ay,band_az,opacity_median,opacity_std
0,2017-08-28 14:41:53,1503931312507,f1gjp,1,n2,85.0,9.345794392523349,0.707925333333332,31.950000762939496,-1,-1,-1,-1,-1,-1,-1,-0.4178060000000001,0.6734213333333332,0.616129333333334,-1.0,-1.0
1,2017-08-28 15:02:54,1503932573506,f1gjp,rest,HPrest,75.66666666666667,7.633587786259514,0.7964160000000003,33.09999847412117,-1,-1,-1,-1,-1,-1,-1,-0.0373942166666668,0.2926433333333316,0.9399409999999992,-1.0,-1.0
2,2017-08-28 15:04:45,1503932684510,f1gjp,rest,HPrest,77.0,7.633587786259514,0.7632320000000007,33.11000061035167,-1,-1,-1,-1,-1,-1,-1,-0.0317382833333334,0.3040773333333312,0.9364009999999996,-1.0,-1.0
3,2017-08-28 15:07:20,1503932839497,f1gjp,rest,HPrest,82.33333333333333,7.575757575757545,0.7023946666666673,33.150001525878984,-1,-1,-1,-1,-1,-1,-1,-0.0268961500000001,0.3142903333333315,0.9333498333333332,-1.0,-1.0
4,2017-08-28 15:16:06,1503933365497,f1gjp,rest,GCrest,77.0,7.407407407407379,0.7687626666666668,32.720001220703175,-1,-1,-1,-1,-1,-1,-1,-0.4060056666666672,0.8471679999999981,0.348999000000001,-1.0,-1.0
5,2017-08-28 15:18:39,1503933518499,f1gjp,rest,GCrest,80.0,7.335050808644596,0.7798240000000002,32.43999862670909,-1,-1,-1,-1,-1,-1,-1,-0.4055583333333337,0.9030353333333322,0.1774496666666678,-1.0,-1.0
6,2017-08-28 15:20:35,1503933634497,f1gjp,rest,GCrest,85.0,7.246376811594175,0.7134560000000003,32.3366673787436,-1,-1,-1,-1,-1,-1,-1,-0.3912353333333338,0.9216308333333326,0.1110431666666679,-1.0,-1.0
7,2017-08-28 14:48:09,1503931688500,f1gjp,rest,n3_rest,81.0,8.130081300812982,0.7245173333333327,32.61999893188483,-1,-1,-1,-1,-1,-1,-1,-0.0148925833333334,0.3575029999999996,0.9185386666666644,-1.0,-1.0
8,2017-08-28 15:37:25,1503934644482,f1gjp,1,PT,73.0,6.465577433319342,0.8793760000000002,31.90999984741217,11,2,2,1,1,2,3,-0.3755693333333343,0.9171550000000004,0.1483560000000013,0.09019607843135,0.1438383759839573
9,2017-08-28 15:39:22,1503934761497,f1gjp,0,PT,71.33333333333333,6.41025641025638,0.7632319999999995,31.81999969482428,10,2,2,1,2,2,1,-0.3894856666666675,0.9116616666666668,0.1722820000000013,0.0705882352941,0.0185326102991627
10,2017-08-28 15:43:12,1503934991488,f1gjp,2,PT,80.33333333333333,6.383036637813679,0.6913333333333345,31.70000076293954,24,4,4,4,4,5,3,-0.3648275000000003,0.8326416666666683,0.3272705000000014,0.08235294117645,0.1016069778960422
11,2017-08-28 15:30:28,1503934227497,f1gjp,rest,SXrest,80.0,6.493506493506466,0.7355786666666662,31.81999969482428,-1,-1,-1,-1,-1,-1,-1,-0.4901530000000005,0.8762206666666668,0.0808512500000012,-1.0,-1.0
12,2017-08-28 15:32:22,1503934341491,f1gjp,rest,SXrest,79.66666666666667,6.41025641025638,0.7632319999999998,31.790000915527376,-1,-1,-1,-1,-1,-1,-1,-0.4956463333333342,0.8768311666666674,0.0493978000000013,-1.0,-1.0
13,2017-08-28 15:36:28,1503934587511,f1gjp,rest,SXrest,84.66666666666667,6.493506493506466,0.6913333333333339,31.889999389648462,-1,-1,-1,-1,-1,-1,-1,-0.2040201666666681,0.5505371666666665,0.7285156666666674,-1.0,-1.0
14,2017-08-28 15:08:43,1503932922499,f1gjp,2,FA,80.66666666666667,7.518796992481174,0.7466400000000007,33.16999816894539,13,3,1,1,3,3,2,-0.0249837166666668,0.3385823333333316,0.925537166666667,0.07450980392155,0.1520840739581017
15,2017-08-28 15:10:45,1503933044493,f1gjp,1,FA,83.66666666666667,7.518796992481174,0.7134560000000009,33.18999862670909,11,2,1,1,3,2,2,-0.0235188666666667,0.3228761666666647,0.9303386666666672,0.113725490196,0.0499544839606352
16,2017-08-28 15:12:32,1503933151502,f1gjp,0,FA,82.66666666666667,7.518796992481174,0.7245173333333342,33.18999862670909,10,1,1,1,3,2,2,-0.0229492500000001,0.3155924999999982,0.9326983333333342,0.1019607843135499,0.0443674843095209
17,2017-08-28 14:43:09,1503931388504,f1gjp,rest,n2_rest,81.66666666666667,8.69565217391301,0.6858026666666657,32.130001068115206,-1,-1,-1,-1,-1,-1,-1,-0.0336913666666667,0.3512776666666668,0.9194333333333334,-1.0,-1.0
18,2017-08-28 15:22:17,1503933736496,f1gjp,rest,NCrest,81.0,6.896551724137897,0.7023946666666666,32.240001678466875,-1,-1,-1,-1,-1,-1,-1,-0.3933106666666672,0.918904333333333,0.120157666666668,-1.0,-1.0
19,2017-08-28 15:25:14,1503933913495,f1gjp,rest,NCrest,80.66666666666667,6.666666666666636,0.6858026666666661,32.02000045776378,-1,-1,-1,-1,-1,-1,-1,-0.4836830000000005,0.8832196666666663,0.0529785333333345,-1.0,-1.0
