,datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mean,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,band_ax,band_ay,band_az,opacity_median,opacity_std
0,2017-09-08 14:37:58,1504881477498,bd47a,rest,PTrest,62.66666666666666,5.137106388947344,0.9623359999999884,32.959999084472734,-1,-1,-1,-1,-1,-1,-1,0.3886311666666692,0.3739826666666695,0.8184406666666627,-1.0,-1.0
1,2017-09-08 14:39:16,1504881555500,bd47a,rest,PTrest,52.0,4.3433273233083804,1.1227253333333211,32.919998168945334,-1,-1,-1,-1,-1,-1,-1,-0.8713378333333307,-0.180989666666664,0.4834798333333288,-1.0,-1.0
2,2017-09-08 14:06:30,1504879589488,bd47a,rest,HPrest,62.0,6.263431349424749,0.901498666666662,32.41999816894528,-1,-1,-1,-1,-1,-1,-1,0.3109946666666678,0.5236406666666679,0.7948403333333328,-1.0,-1.0
3,2017-09-08 14:08:27,1504879706487,bd47a,rest,HPrest,65.33333333333333,6.452856043325145,0.8406613333333284,32.573333740234354,-1,-1,-1,-1,-1,-1,-1,0.2987060000000013,0.5514730000000018,0.7798663333333323,-1.0,-1.0
4,2017-09-08 14:10:44,1504879843502,bd47a,rest,HPrest,60.0,6.122653819130785,1.0342346666666609,32.619998931884794,-1,-1,-1,-1,-1,-1,-1,0.3487955000000011,0.5061036666666694,0.788940333333333,-1.0,-1.0
5,2017-09-08 13:48:11,1504878490515,bd47a,1,n2,60.66666666666666,9.803921568627446,1.0342346666666655,29.88999938964839,-1,-1,-1,-1,-1,-1,-1,0.2696940000000002,0.6683756666666665,0.6974283333333329,-1.0,-1.0
6,2017-09-08 14:31:14,1504881073489,bd47a,rest,SXrest,71.0,7.979177334016064,0.7798239999999917,33.04999923706055,-1,-1,-1,-1,-1,-1,-1,0.4409183333333351,0.880696333333336,0.1831869999999978,-1.0,-1.0
7,2017-09-08 14:32:51,1504881170496,bd47a,rest,SXrest,58.66666666666666,5.569769523147731,1.084010666666658,32.919998168945334,-1,-1,-1,-1,-1,-1,-1,-0.914062333333331,-0.0916339399999977,0.4170736666666641,-1.0,-1.0
8,2017-09-08 14:36:21,1504881380512,bd47a,rest,SXrest,61.333333333333336,4.190058789259061,1.0121119999999897,32.959999084472734,-1,-1,-1,-1,-1,-1,-1,0.187418666666669,0.501627333333336,0.8487956666666627,-1.0,-1.0
9,2017-09-08 13:49:48,1504878587494,bd47a,rest,n2_rest,65.66666666666667,4.587603812777748,0.4037386666666649,30.35000038146969,-1,-1,-1,-1,-1,-1,-1,0.2227376666666673,0.5737303333333329,0.7912599999999993,-1.0,-1.0
10,2017-09-08 14:24:09,1504880648482,bd47a,0,NC,57.66666666666666,7.792312661498722,1.0010506666666608,33.04000091552734,13,3,2,2,2,3,1,0.2161456666666688,0.5652670000000026,0.7989096666666642,0.0627450980392,0.0149206232346839
11,2017-09-08 14:26:45,1504880804494,bd47a,2,NC,60.66666666666666,7.407407407407422,1.03423466666666,33.139999389648466,13,3,2,2,2,3,1,0.3477376666666686,0.4539386666666691,0.8138023333333306,0.078431372549,0.0190362314106898
12,2017-09-08 14:28:50,1504880929496,bd47a,1,NC,61.0,7.371096586782872,1.0010506666666592,33.09999847412115,13,3,2,2,2,3,1,0.3597820000000015,0.906779000000003,0.202229833333331,0.0627450980392,0.0212831537350095
13,2017-09-08 14:30:31,1504881030500,bd47a,0,SX,61.0,7.692307692307712,1.0065813333333251,33.080001831054744,11,2,2,2,2,2,1,0.4072266666666683,0.8508300000000032,0.3467203333333311,0.0549019607843,0.0045282374054077
14,2017-09-08 14:32:06,1504881125467,bd47a,1,SX,61.66666666666666,7.812500000000021,1.0895413333333257,32.939998626709034,11,2,2,2,2,2,1,0.407308000000002,0.8869630000000024,0.1391599999999977,0.0941176470588,0.0263650765708742
