,datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mean,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,band_ax,band_ay,band_az,opacity_median,opacity_std
0,2017-08-29 15:14:49,1504019688484,ef5rq,1,GC,74.0,2.2556416461608277,0.8683146666666671,31.84000015258788,14,3,2,1,3,3,2,-0.1019694000000006,0.7365720000000012,0.6700843333333296,0.08235294117645,0.0225958592799678
1,2017-08-29 15:16:28,1504019787486,ef5rq,2,GC,72.0,2.3752969121140057,0.735578666666666,31.89999961853028,14,2,2,1,5,2,2,-0.090738933333334,0.5545246666666687,0.8135986666666625,0.0941176470588,0.0284955327445444
2,2017-08-29 15:18:07,1504019886488,ef5rq,0,GC,69.66666666666667,2.54237653005428,0.9180906666666664,32.06000137329098,11,2,2,2,2,2,1,0.0479329166666658,0.4150391666666684,0.8930663333333296,0.0627450980392,0.0293463324454789
3,2017-08-29 15:20:40,1504020039500,ef5rq,rest,NCrest,73.0,2.6809651474530725,0.7023946666666655,32.25999832153317,-1,-1,-1,-1,-1,-1,-1,-0.1048990000000009,0.5339353333333358,0.8230383333333288,-1.0,-1.0
4,2017-08-29 15:22:52,1504020171494,ef5rq,rest,NCrest,75.0,2.722327528333916,0.7355786666666656,32.38999938964837,-1,-1,-1,-1,-1,-1,-1,-0.073445650000001,0.5651855000000029,0.8055013333333286,-1.0,-1.0
5,2017-08-29 15:25:37,1504020336494,ef5rq,rest,NCrest,94.33333333333331,2.705144168558789,0.6802719999999988,32.54999923706041,-1,-1,-1,-1,-1,-1,-1,-0.0441894333333343,0.5041095000000032,0.8472496666666637,-1.0,-1.0
6,2017-08-29 15:09:28,1504019367516,ef5rq,rest,FArest,70.33333333333333,2.3112508197188686,0.7798240000000008,31.616667429606096,-1,-1,-1,-1,-1,-1,-1,-0.0384928333333339,0.4895831666666677,0.8559163333333312,-1.0,-1.0
7,2017-08-29 15:11:28,1504019487496,ef5rq,rest,FArest,72.0,2.2624434389140213,0.7411093333333344,31.7033335367838,-1,-1,-1,-1,-1,-1,-1,-0.0270589166666673,0.4624431666666677,0.8703206666666636,-1.0,-1.0
8,2017-08-29 15:13:48,1504019627494,ef5rq,rest,FArest,78.0,2.1865982277381906,0.613904000000001,31.80999946594237,-1,-1,-1,-1,-1,-1,-1,-0.0159912000000006,0.4642740000000008,0.8701983333333297,-1.0,-1.0
9,2017-08-29 15:33:41,1504020820521,ef5rq,rest,PTrest,72.66666666666667,2.695417789757394,0.8849066666666658,32.90000152587883,-1,-1,-1,-1,-1,-1,-1,-0.1489666666666677,0.7524416666666705,0.6288248333333311,-1.0,-1.0
10,2017-08-29 15:35:12,1504020911496,ef5rq,rest,PTrest,78.33333333333333,2.7149365696555354,0.768762666666666,32.849998474121016,-1,-1,-1,-1,-1,-1,-1,-0.0764160333333343,0.5409750000000035,0.8231609999999979,-1.0,-1.0
11,2017-08-29 15:26:56,1504020415496,ef5rq,rest,SXrest,74.66666666666667,2.6785885419661373,0.8074773333333326,32.56999969482411,-1,-1,-1,-1,-1,-1,-1,-0.0356852333333343,0.5616863333333361,0.8103843333333304,-1.0,-1.0
12,2017-08-29 15:28:37,1504020516501,ef5rq,rest,SXrest,74.66666666666667,2.744743840634236,0.7742933333333326,32.65999984741203,-1,-1,-1,-1,-1,-1,-1,-0.0388997333333343,0.5535480000000033,0.8154296666666636,-1.0,-1.0
13,2017-08-29 15:31:31,1504020690497,ef5rq,rest,SXrest,82.66666666666667,2.7272772392707907,0.7908853333333328,32.780000050862554,-1,-1,-1,-1,-1,-1,-1,-0.1096596666666676,0.6686196666666705,0.7222493333333309,-1.0,-1.0
14,2017-08-29 15:00:55,1504018854508,ef5rq,2,HP,76.0,2.377182068393481,0.7355786666666676,31.52000045776366,11,3,2,2,1,2,1,0.0905761999999991,0.5291746666666662,0.825357999999999,0.117647058824,0.0392726858486351
15,2017-08-29 15:03:39,1504019018507,ef5rq,0,HP,72.33333333333333,2.32558139534884,0.6913333333333345,31.569999694824165,10,2,2,2,1,2,1,0.058186849999999,0.5660400000000002,0.8035889999999987,0.0470588235294,0.0185786541222854
16,2017-08-29 15:05:59,1504019158506,ef5rq,1,HP,72.66666666666667,2.2796378929558325,0.9180906666666684,31.60000038146966,13,2,3,3,2,2,1,0.1137696666666661,0.5789388333333335,0.7876793333333324,0.0549019607843,0.0165873123976803
17,2017-08-29 15:32:51,1504020770508,ef5rq,1,PT,62.333333333333336,2.693002540841842,1.034234666666666,32.86999893188472,15,3,3,2,2,3,2,0.1169028333333323,0.4106851666666706,0.8749999999999978,0.0862745098039,0.0324736733808568
18,2017-08-29 15:34:32,1504020871515,ef5rq,0,PT,72.33333333333333,2.7322404371584543,0.8074773333333324,32.906665802001875,8,1,2,1,1,2,1,0.0274658499999989,0.3160401666666703,0.9148761666666648,0.078431372549,0.0035075576117635
19,2017-08-29 15:37:55,1504021074497,ef5rq,2,PT,70.66666666666667,2.56191662841278,0.8406613333333337,32.749999999999964,22,3,5,4,3,4,3,0.0017496833333323,0.4784750000000025,0.837198833333332,0.0627450980392,0.0327031220091449
20,2017-08-29 14:41:51,1504017710493,ef5rq,rest,n2_rest,78.66666666666667,3.229286285972789,0.674741333333334,31.73999977111817,-1,-1,-1,-1,-1,-1,-1,0.4300130000000008,0.6829020000000009,0.5591226666666653,-1.0,-1.0
21,2017-08-29 15:26:09,1504020368506,ef5rq,0,SX,66.66666666666667,2.6690433749257125,0.8378959999999992,32.54999923706041,9,2,2,1,1,2,1,-0.0603434500000009,0.5050050000000029,0.8463543333333304,0.1999999999999999,0.1275565173899875
22,2017-08-29 15:27:54,1504020473479,ef5rq,1,SX,71.66666666666667,2.6954177897573963,0.8185386666666661,32.61999893188472,12,3,3,1,2,2,1,-0.0611979000000009,0.5336916666666696,0.8273923333333301,0.141176470588,0.0524963153904259
23,2017-08-29 15:29:59,1504020598500,ef5rq,2,SX,71.0,2.7002743983875885,0.7411093333333318,32.70000076293943,14,2,4,2,2,3,1,-0.0189615666666676,0.4459230000000032,0.8796793333333303,0.05098039215685,0.1289398065723299
24,2017-08-29 15:02:15,1504018934503,ef5rq,rest,HPrest,73.0,2.3678008955814795,0.5973120000000011,31.549999237060465,-1,-1,-1,-1,-1,-1,-1,0.0620524166666657,0.5468748333333332,0.8162843333333321,-1.0,-1.0
25,2017-08-29 15:04:27,1504019066507,ef5rq,rest,HPrest,69.0,2.302381835196073,0.7521706666666677,31.576666514078763,-1,-1,-1,-1,-1,-1,-1,0.1378173333333325,0.487182666666667,0.843383999999998,-1.0,-1.0
26,2017-08-29 15:07:20,1504019239497,ef5rq,rest,HPrest,73.33333333333333,2.257336343115123,0.5807200000000021,31.62999916076656,-1,-1,-1,-1,-1,-1,-1,-0.0755615500000006,0.4640300000000008,0.8678386666666654,-1.0,-1.0
27,2017-08-29 14:40:16,1504017615499,ef5rq,1,n2,86.33333333333333,3.05499614629174,0.680272000000001,31.729999542236285,-1,-1,-1,-1,-1,-1,-1,0.4428305000000008,0.7082518333333351,0.5207519999999993,-1.0,-1.0
28,2017-08-29 15:15:34,1504019733507,ef5rq,rest,GCrest,84.0,2.2936020574187714,0.7134559999999995,31.870000839233374,-1,-1,-1,-1,-1,-1,-1,-0.0452067166666673,0.6998696666666685,0.6964113333333293,-1.0,-1.0
29,2017-08-29 15:17:22,1504019841499,ef5rq,rest,GCrest,82.0,2.469165984182659,0.6747413333333333,31.96999931335448,-1,-1,-1,-1,-1,-1,-1,-0.1427813333333341,0.694498666666668,0.691568999999996,-1.0,-1.0
30,2017-08-29 15:19:11,1504019950498,ef5rq,rest,GCrest,73.0,2.6737967914438374,0.7521706666666659,32.150001525878906,-1,-1,-1,-1,-1,-1,-1,-0.0904134333333342,0.5109048333333354,0.839111666666663,-1.0,-1.0
31,2017-08-29 15:08:40,1504019319497,ef5rq,2,FA,75.33333333333333,2.237136465324383,0.7300480000000013,31.62999916076656,14,2,3,3,1,3,2,-0.1752116666666673,0.7651366666666678,0.6076253333333318,0.109803921569,0.2573337994746106
32,2017-08-29 15:10:42,1504019441499,ef5rq,1,FA,71.33333333333333,2.25564164616083,0.8406613333333338,31.649999618530263,14,2,2,2,3,3,2,-0.1058756666666672,0.471028500000001,0.8613279999999977,0.109803921569,0.1238123122238967
33,2017-08-29 15:12:34,1504019553505,ef5rq,0,FA,71.66666666666667,2.2026431718061623,0.8738453333333341,31.76000022888177,14,2,2,2,3,3,2,-0.0627848333333339,0.4359131666666676,0.8825278333333303,0.0549019607843,0.0225764052433804
34,2017-08-29 14:43:51,1504017830504,ef5rq,2,n3,86.33333333333333,3.156237937414317,0.6747413333333347,31.770000457763683,-1,-1,-1,-1,-1,-1,-1,0.2288816666666671,0.521566000000001,0.799519666666665,-1.0,-1.0
35,2017-08-29 15:19:49,1504019988500,ef5rq,0,NC,74.0,2.652557319223975,0.5364746666666654,32.18999862670898,9,2,2,1,1,2,1,-0.1003012500000009,0.5323896666666689,0.8248289999999958,0.0470588235294,0.0078431372549
36,2017-08-29 15:22:10,1504020129498,ef5rq,2,NC,72.0,2.693028546637722,0.8130079999999991,32.36999893188476,13,3,3,1,2,3,1,-0.1203613333333343,0.5394693333333357,0.8183593333333289,0.0549019607843,0.0110918710774332
37,2017-08-29 15:24:14,1504020253488,ef5rq,1,NC,81.66666666666667,2.7372308306509865,0.7964159999999989,32.47000122070302,13,3,3,1,2,3,1,-0.0700683666666676,0.5710446666666694,0.801513666666663,0.0549019607843,0.0192116842571181
