,datetime,timestamp,user_id,level,task,hr,gsr,rr,temperature,TLX_mean,TLX_mental_demand,TLX_physical_demand,TLX_temporal_demand,TLX_performance,TLX_effort,TLX_frustration,band_ax,band_ay,band_az,opacity_median,opacity_std
0,2017-10-20 09:33:10,1508491989493,yljm5,1,GC,87.0,0.9715150142800164,0.6249653333333315,32.50999832153324,13,2,1,3,2,3,2,-0.1690266666666663,0.3472899999999998,0.918701,0.1176470588234,0.0296071938637177
1,2017-10-20 09:34:46,1508492085504,yljm5,2,GC,87.66666666666667,0.8852225841502249,0.6581493333333316,32.50666554768884,14,2,1,3,3,3,2,-0.1754966666666663,0.3441976666666662,0.9171956666666666,0.109803921569,0.0140302304467912
2,2017-10-20 09:36:05,1508492164488,yljm5,0,GC,88.66666666666667,0.8734215950840972,0.7632319999999982,32.50000000000004,10,2,1,2,2,2,1,-0.1729738333333329,0.3939208333333328,0.8979493333333334,0.101960784314,0.0045282374055809
3,2017-10-20 09:39:25,1508492364491,yljm5,rest,NCrest,87.66666666666667,0.8092872629948329,0.6470879999999987,32.50000000000004,-1,-1,-1,-1,-1,-1,-1,-0.1185709999999994,0.5431723333333325,0.8231606666666681,-1.0,-1.0
4,2017-10-20 09:43:01,1508492580494,yljm5,rest,NCrest,102.0,0.7146260934681229,0.5917813333333314,32.56000137329106,-1,-1,-1,-1,-1,-1,-1,-0.1042479999999994,0.492960666666666,0.8580726666666679,-1.0,-1.0
5,2017-10-20 09:45:59,1508492758494,yljm5,rest,NCrest,79.33333333333333,0.6847752368272174,0.7411093333333306,32.580001831054794,-1,-1,-1,-1,-1,-1,-1,-0.1033529999999993,0.4901123333333328,0.8601886666666662,-1.0,-1.0
6,2017-10-20 09:25:12,1508491511492,yljm5,rest,FArest,90.33333333333331,0.6507614857807812,0.6968639999999976,32.43999862670909,-1,-1,-1,-1,-1,-1,-1,0.2350256666666671,0.1743978333333325,0.9486489999999996,-1.0,-1.0
7,2017-10-20 09:29:14,1508491753504,yljm5,rest,FArest,92.66666666666669,1.0814710814710813,0.6139039999999975,32.45666631062836,-1,-1,-1,-1,-1,-1,-1,0.1965330000000005,0.2339273333333327,0.9447426666666664,-1.0,-1.0
8,2017-10-20 09:32:25,1508491944497,yljm5,rest,FArest,86.0,0.8979378082979222,0.674741333333332,32.50999832153324,-1,-1,-1,-1,-1,-1,-1,-0.0856933833333329,0.486002333333333,0.8637289999999999,-1.0,-1.0
9,2017-10-20 09:53:55,1508493234494,yljm5,rest,PTrest,92.33333333333331,0.6305232203506712,0.5917813333333266,32.56999969482438,-1,-1,-1,-1,-1,-1,-1,-0.1157229999999992,0.499227166666667,0.8528643333333324,-1.0,-1.0
10,2017-10-20 09:55:29,1508493328508,yljm5,rest,PTrest,102.5,0.6064287329785775,0.5254133333333266,32.59000015258812,-1,-1,-1,-1,-1,-1,-1,-0.1643471666666658,0.3712973333333334,0.9090173333333323,-1.0,-1.0
11,2017-10-20 09:47:32,1508492851498,yljm5,rest,SXrest,80.66666666666667,0.7317074041506135,0.636026666666664,32.569999694824304,-1,-1,-1,-1,-1,-1,-1,-0.0921223999999992,0.4755859999999995,0.8682046666666663,-1.0,-1.0
12,2017-10-20 09:49:14,1508492953498,yljm5,rest,SXrest,98.66666666666669,0.6754481769007082,0.5364746666666633,32.58000183105484,-1,-1,-1,-1,-1,-1,-1,-0.0893147833333326,0.4766436666666662,0.867960666666665,-1.0,-1.0
13,2017-10-20 09:52:02,1508493121503,yljm5,rest,SXrest,89.0,0.6534526550127393,0.7023946666666614,32.560001373291136,-1,-1,-1,-1,-1,-1,-1,-0.1318359999999993,0.4621581666666669,0.8718259999999988,-1.0,-1.0
14,2017-10-20 09:17:07,1508491026511,yljm5,2,HP,95.33333333333331,0.7562402217847465,0.6028426666666636,32.33000183105476,9,1,1,1,2,3,1,0.2030028333333338,0.3765868333333328,0.896768999999998,0.101960784314,0.02292618171869
15,2017-10-20 09:19:33,1508491172492,yljm5,0,HP,105.0,0.722979228912302,0.5364746666666648,32.36000061035167,7,1,1,2,1,1,1,0.2246500000000005,0.3375243333333328,0.9064939999999988,0.0941176470588,0.031185248545579
16,2017-10-20 09:21:25,1508491284492,yljm5,1,HP,95.33333333333331,0.6824397095536591,0.5696586666666646,32.38999938964849,7,1,1,1,1,2,1,0.2159423333333337,0.2390136666666659,0.9392089999999989,0.0941176470588,0.0077113104334039
17,2017-10-20 09:00:11,1508490010492,yljm5,rest,n3_rest,52.66666666666666,0.3749085669317905,0.7964159999999998,31.899999618530327,-1,-1,-1,-1,-1,-1,-1,0.2491046666666662,0.5843915000000007,0.7611490000000002,-1.0,-1.0
18,2017-10-20 09:53:08,1508493187504,yljm5,1,PT,85.66666666666667,0.6500663537160104,0.7355786666666603,32.58000183105487,8,1,1,3,1,1,1,-0.1191406666666658,0.4886880000000003,0.8586831666666658,0.101960784314,0.055607050336717
19,2017-10-20 09:54:42,1508493281498,yljm5,0,PT,92.33333333333331,0.6276179163041272,0.5751893333333272,32.58000183105491,7,1,1,2,1,1,1,-0.1637366666666659,0.3706053333333337,0.9095866666666657,0.0941176470588,0.0065620394239026
20,2017-10-20 09:57:22,1508493441504,yljm5,2,PT,102.33333333333331,0.6222775357809583,0.6636799999999937,32.61999893188502,10,3,1,2,1,2,1,-0.2014156666666659,0.3055826666666665,0.925293333333332,0.0941176470588,0.0053925619684161
21,2017-10-20 08:55:11,1508489710495,yljm5,rest,n2_rest,87.0,0.3496176606714312,0.6360266666666664,31.709999084472692,-1,-1,-1,-1,-1,-1,-1,0.2223713333333337,0.3300375,0.9117839999999996,-1.0,-1.0
22,2017-10-20 09:46:38,1508492797494,yljm5,0,SX,95.33333333333331,0.681508475594163,0.6360266666666641,32.569999694824304,8,1,1,1,1,1,3,-0.1057129999999992,0.4850666666666662,0.8618976666666663,0.1019607843139,0.0117647058825722
23,2017-10-20 09:48:30,1508492909504,yljm5,1,SX,100.33333333333331,0.6923612459944634,0.586250666666664,32.58000183105484,7,1,1,1,1,1,2,-0.0916340999999992,0.4744469999999995,0.8692219999999992,0.0941176470588,0.0118947065791157
24,2017-10-20 09:50:39,1508493038501,yljm5,2,SX,96.66666666666669,0.6869707483169684,0.6415573333333293,32.58000183105484,10,2,1,2,1,2,2,-0.1329753333333326,0.4840088333333332,0.8593749999999986,0.0941176470588,0.0221065810787231
25,2017-10-20 09:18:28,1508491107498,yljm5,rest,HPrest,91.33333333333331,0.7003392926971235,0.6470879999999978,32.34999847412117,-1,-1,-1,-1,-1,-1,-1,-0.423421166666666,0.1604411499999991,0.7235921666666646,-1.0,-1.0
26,2017-10-20 09:20:32,1508491231492,yljm5,rest,HPrest,77.66666666666667,0.7047223354239757,0.7466399999999979,32.36999893188487,-1,-1,-1,-1,-1,-1,-1,0.2183838333333337,0.2357993333333327,0.9396563333333318,-1.0,-1.0
27,2017-10-20 09:22:54,1508491373494,yljm5,rest,HPrest,100.66666666666669,0.6269592476489027,0.5309439999999975,32.40999984741219,-1,-1,-1,-1,-1,-1,-1,0.225138333333334,0.1978353333333325,0.9472656666666652,-1.0,-1.0
28,2017-10-20 08:51:57,1508489516496,yljm5,1,n2,119.33333333333331,0.3254856384447924,0.4701066666666663,31.45000076293949,-1,-1,-1,-1,-1,-1,-1,0.1514483333333335,0.2913003333333337,0.9372153333333344,-1.0,-1.0
29,2017-10-20 09:34:01,1508492040508,yljm5,rest,GCrest,63.333333333333336,0.9311056833514072,0.7272826666666651,32.49000167846683,-1,-1,-1,-1,-1,-1,-1,-0.164225333333333,0.4278156666666663,0.8859049999999998,-1.0,-1.0
30,2017-10-20 09:35:39,1508492138508,yljm5,rest,GCrest,96.33333333333331,0.8444804163669698,0.7023946666666645,32.50000000000004,-1,-1,-1,-1,-1,-1,-1,-0.126953333333333,0.445678666666666,0.8669436666666664,-1.0,-1.0
31,2017-10-20 09:37:34,1508492253500,yljm5,rest,GCrest,104.66666666666669,0.7919760908371886,0.5641279999999992,32.49000167846683,-1,-1,-1,-1,-1,-1,-1,-0.1254879999999997,0.5314128333333329,0.8296713333333342,-1.0,-1.0
32,2017-10-20 09:24:13,1508491452494,yljm5,2,FA,89.0,0.6359978560659313,0.6139039999999976,32.41999816894539,11,2,1,3,2,2,1,0.2273358333333338,0.1937253333333326,0.9473468333333322,0.1176470588234999,0.0310204329408558
